Name,Year,GS,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS
Augie Galan,1943,,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0.5
Augie Galan,1936,as CF,1,4,4,1,1,0,0,1,1,0,0,0,2,0.25,0.25,1,1.25
Aurelio Lopez,1983,,0,,,,,,,,,,,,,,,,
B.J. Ryan,2006,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
B.J. Ryan,2005,,1,,,,,,,,,,,,,,,,
B.J. Surhoff,1999,,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Babe Dahlgren,1943,,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Babe Phelps,1940,,1,1,0,0,0,0,0,0,0,0,0,1,0,,1,,
Babe Phelps,1939,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Babe Phelps,1938,,0,,,,,,,,,,,,,,,,
Babe Ruth,1934,as RF,1,4,2,1,0,0,0,0,0,0,0,2,1,0,0.5,0,0.5
Babe Ruth,1933,as RF,1,4,4,1,2,0,0,1,2,0,0,0,2,0.5,0.5,1.25,1.75
Bake McBride,1976,,0,,,,,,,,,,,,,,,,
Barry Bonds,2007,as LF,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barry Bonds,2004,as LF,1,3,2,0,0,0,0,0,0,0,0,1,0,0,0.333,0,0.333
Barry Bonds,2003,as DH,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barry Bonds,2002,as LF,1,2,2,1,1,0,0,1,2,0,0,0,0,0.5,0.5,2,2.5
Barry Bonds,2001,as LF,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Barry Bonds,2000,,0,,,,,,,,,,,,,,,,
Barry Bonds,1998,as LF,1,3,2,1,1,0,0,1,3,0,0,1,0,0.5,0.667,2,2.667
Barry Bonds,1997,as LF,1,3,2,0,0,0,0,0,0,1,0,1,1,0,0.333,0,0.333
Barry Bonds,1996,as LF,1,3,3,0,1,0,0,0,1,0,1,0,0,0.333,0.333,0.333,0.667
Barry Bonds,1995,as LF,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Barry Bonds,1994,as LF,1,4,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0
Barry Bonds,1993,as LF,1,3,3,2,2,2,0,0,0,0,0,0,0,0.667,0.667,1.333,2
Barry Bonds,1992,as LF,1,3,3,1,1,1,0,0,0,0,0,0,0,0.333,0.333,0.667,1
Barry Bonds,1990,,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0.5
Barry Larkin,2004,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barry Larkin,2000,as SS,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barry Larkin,1999,as SS,1,3,3,0,1,0,0,0,1,0,0,0,1,0.333,0.333,0.333,0.667
Barry Larkin,1997,,0,,,,,,,,,,,,,,,,
Barry Larkin,1996,as SS,1,3,3,1,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667
Barry Larkin,1995,as SS,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barry Larkin,1994,,0,,,,,,,,,,,,,,,,
Barry Larkin,1993,as SS,1,3,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Barry Larkin,1991,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barry Larkin,1990,,1,0,0,0,0,0,0,0,0,1,0,0,0,,,,
Barry Larkin,1989,,0,,,,,,,,,,,,,,,,
Barry Larkin,1988,,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Barry Latman,1961 (2),,0,,,,,,,,,,,,,,,,
Barry Zito,2006,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Barry Zito,2003,,0,,,,,,,,,,,,,,,,
Barry Zito,2002,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Bartolo Colon,2013,,0,,,,,,,,,,,,,,,,
Bartolo Colon,2005,,1,,,,,,,,,,,,,,,,
Bartolo Colon,1998,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Beau Bell,1937,,0,,,,,,,,,,,,,,,,
Ben Chapman,1936,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Chapman,1935,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Ben Chapman,1934,,1,2,2,0,1,0,1,0,0,0,0,0,0,0.5,0.5,1.5,2
Ben Chapman,1933,as LF,1,5,5,0,1,0,0,0,0,0,0,0,1,0.2,0.2,0.2,0.4
Ben Grieve,1998,,1,1,0,0,0,0,0,0,0,0,0,1,0,,1,,
